Respondent ,Q1,Q2,Q3,Q4,Q5,Q5,Q5,Q5,Q6,Q6,Q6,Q6,Q7
1,y,3,1,3,3,3,4,4,1,,,,1
2,y,3,1,3,5,4,4,4,1,,,,1
3,y,3,1,3,5,4,4,4,,2,,,2
4,y,3,1,3,5,4,4,4,,,3,4,2
5,y,3,3,3,5,4,4,4,1,,3,4,2
6,y,3,3,3,5,4,4,4,,2,3,4,2
7,y,4,3,3,5,5,4,4,,2,3,4,2
8,y,4,3,3,5,5,4,4,1,2,3,4,2
9,y,4,3,3,5,5,4,4,,2,3,,2
10,y,4,3,3,5,3,4,4,,2,3,,3
11,y,4,3,3,5,3,4,4,,2,3,,3
12,y,4,3,3,5,3,4,4,1,2,,,3
13,y,4,3,3,5,4,4,4,,2,,,3
14,y,4,3,3,5,4,4,4,1,,,,3
15,y,4,3,3,5,4,4,4,1,,,,3
16,y,4,3,3,5,5,4,4,1,,,4,3
17,y,5,3,3,5,5,4,4,1,,,,3
18,y,5,3,2,5,5,4,4,1,,,,3
19,y,4,3,2,5,3,4,4,1,2,,,3
20,y,4,3,2,5,3,4,5,1,2,,,3
21,y,4,2,2,5,3,3,5,1,2,,,3
22,y,4,2,2,5,5,4,5,1,2,3,,3
23,y,4,4,2,5,5,4,5,1,2,3,,3
24,y,5,2,2,5,5,4,5,1,,3,,3
25,y,5,2,3,4,5,2,5,1,,,,3
26,y,5,4,1,4,5,2,5,,,,4,3
27,y,3,4,1,4,5,2,5,1,,,,3
28,y,3,4,1,3,5,2,5,1,,,,3
29,y,3,4,1,4,3,2,5,1,2,,,3
30,y,3,2,2,4,3,2,5,,2,,,3
31,y,4,4,2,4,4,2,5,,2,,,4
32,y,4,4,2,3,5,2,5,,2,,,4
33,y,4,4,1,3,4,1,5,1,2,,,4
34,y,4,3,1,3,4,1,5,1,2,,,4
35,y,4,4,1,4,4,1,4,1,,,,4
36,y,4,3,1,4,4,1,4,1,,,,4
37,y,5,4,1,4,4,1,4,1,,3,,4
38,y,5,4,2,4,4,1,4,1,,3,,4
39,y,5,4,2,4,4,1,5,,,3,,4
40,y,5,4,2,3,4,1,4,1,,,4,4
41,y,3,3,2,4,4,1,4,,2,,4,4
42,y,3,4,2,4,4,1,4,,2,,4,4
43,y,3,3,2,4,3,2,4,1,2,,4,4
44,y,2,4,2,2,3,2,3,1,2,,4,4
45,y,5,3,2,3,4,2,3,1,2,,,4
46,y,5,3,2,3,4,2,3,1,2,3,,4
47,y,5,3,2,3,4,3,2,1,,3,,4
48,y,5,3,2,3,4,3,2,,,,,4
49,y,1,3,2,3,4,3,2,,,,,4
50,y,1,3,2,3,5,3,3,1,,,,4
51,y,5,3,2,3,5,3,3,1,2,,,4
52,y,5,3,3,3,5,3,3,1,,,,4
53,y,5,3,3,3,3,3,3,1,,,,4
54,y,5,4,3,3,4,3,4,1,2,3,,4
55,y,4,4,3,3,4,3,4,1,2,3,,4
56,y,4,4,3,3,4,3,4,1,2,3,,4
57,y,4,4,3,5,4,3,4,1,2,3,,4
58,y,4,3,3,5,4,3,4,1,,3,4,4
59,y,4,3,3,5,4,3,4,1,,,4,4
60,y,4,3,3,3,4,3,4,1,,,,4
61,y,4,3,3,4,4,3,4,1,,,,4
62,y,4,3,3,4,5,3,4,1,,,,4
63,y,3,3,3,4,5,3,4,1,,,,4
64,y,3,3,3,4,5,3,4,1,2,,,4
65,y,3,3,3,4,5,4,4,,2,,,4
66,y,3,3,3,4,5,4,5,,2,3,,4
67,y,4,2,3,4,4,4,5,,2,3,,4
68,y,4,2,3,5,4,4,5,,2,3,,4
69,y,4,2,3,4,4,4,5,1,2,3,,4
70,y,3,2,3,3,4,5,5,1,,,,4
71,y,3,2,3,4,4,5,5,1,,,,4
72,y,3,3,2,3,4,5,5,,,,,4
73,y,5,3,2,3,3,5,5,,2,,,4
74,y,5,3,2,3,3,5,5,,2,,,4
75,y,5,3,2,3,3,5,5,,2,3,,4
76,y,5,3,2,3,3,5,5,,2,,4,4
77,y,3,4,2,3,5,5,4,1,2,,4,4
78,y,3,4,2,5,5,5,4,1,,,4,4
79,y,3,4,2,5,5,5,4,,,,4,4
80,y,2,4,2,5,5,1,4,,,,,5
81,y,2,4,2,5,5,1,4,,,,,5
82,y,5,4,1,5,5,1,4,,,,,5
83,y,5,4,1,5,4,2,4,1,2,,,5
84,y,5,4,1,5,4,2,4,,2,,,5
85,y,5,1,2,5,3,2,5,1,2,3,,5
86,y,5,4,2,3,4,2,5,1,,,,5
87,y,5,1,3,4,3,2,5,1,,,,5
88,y,3,1,3,4,4,2,5,1,,,,5
89,y,4,1,3,4,5,2,4,1,,,,5
90,y,3,1,3,4,4,2,4,,,3,,5
91,y,3,1,2,3,3,5,4,,2,,,5
92,y,4,1,2,4,4,5,4,,,3,,5
93,y,3,1,2,4,4,5,5,,,,,5
94,y,4,2,2,4,4,5,5,,,,,5
95,y,3,4,1,5,4,5,5,1,,,4,5
96,y,3,2,1,5,3,4,4,,,,4,5
97,y,5,2,1,5,3,4,4,1,,,4,
98,y,5,2,1,5,3,4,5,,,,,
99,y,5,2,1,5,4,4,5,1,,,,
100,y,3,3,2,5,4,3,5,1,,,,
